"","county_fips","total_flu","total_asymp_flu","percent_asymp_flu","percent_5_12_flu","percent_18_49_flu","percent_0_4_flu","percent_50_64_flu","percent_65_plus_flu","percent_13_17_flu","percent_female_flu","percent_white_flu","percent_black_flu","percent_hispanic_flu","percent_asian_flu","total_covid","total_rsv","total_all_cause","avg_temp","avg_humidity","percent_poor_health","days_poor_mental_health","percent_obese","rate_doctors","percent_unemployed","life_expectancy","percent_mental_distress","median_hh_income","population","percent_rural","percent_vaccinated","icu_beds","percent_asymp_flu_log","percent_asymp_flu_scale","percent_flu","percent_rsv","percent_covid","rate_icu_beds","median_hh_income_scale","population_scale","percent_65_plus_flu_scale","percent_white_flu_scale","percent_female_flu_scale","percent_poor_health_scale","percent_obese_scale","percent_mental_distress_scale","percent_rural_scale","percent_vaccinated_scale"
"35","01073",1541,257,0.166774821544452,0.224529526281635,0.237508111615834,0.0902011680726801,0.132381570408825,0.189487345879299,0.125892277741726,0.5425048669695,0.565149136577708,0.370486656200942,0.0376766091051805,0.0266875981161695,1457,135,246985,65.4482813655084,67.3791876410507,0.185,5.8104695506,0.393,111.10778,0.0258189242,72.922522753,0.177,61996,665409,0.1207091524,0.44,471,2.8140594355632,16.6774821544452,6.23924529829747,0.546591898293419,5.89914367269267,70.7835331352597,6.1996,6.65409,18.9487345879299,56.5149136577708,54.25048669695,18.5,39.3,17.7,12.07091524,44
"37","01077",307,102,0.332247557003257,0.0977198697068404,0.192182410423453,0.0618892508143322,0.198697068403909,0.381107491856678,0.0684039087947883,0.55700325732899,0.824242424242424,0.0727272727272727,0.096969696969697,0.00606060606060606,451,29,35650,63.3742032724839,70.3179531397453,0.178,5.8421498165,0.38,54.23051,0.0263519653,75.365040696,0.185,59023,95878,0.5216322517,0.47,48,3.50329525168516,33.2247557003257,8.61150070126227,0.813464235624124,12.6507713884993,50.0636225202862,5.9023,0.95878,38.1107491856678,82.4242424242424,55.700325732899,17.8,38,18.5,52.16322517,47
"38","01079",110,21,0.190909090909091,0.345454545454545,0.145454545454545,0.209090909090909,0.109090909090909,0.0909090909090909,0.1,0.527272727272727,0.934782608695652,0.0217391304347826,0.0434782608695652,0,140,32,11076,63.3486231440866,70.6023618171602,0.209,6.002357859,0.413,18.13237,0.0240890276,71.565076781,0.199,55516,33214,0.9999395277,0.36,6,2.9492122579191,19.0909090909091,9.93138317081979,2.88912964969303,12.639942217407,18.0646715240561,5.5516,0.33214,9.09090909090909,93.4782608695652,52.7272727272727,20.9,41.3,19.9,99.99395277,36
"39","01081",252,87,0.345238095238095,0.166666666666667,0.293650793650794,0.0515873015873016,0.19047619047619,0.174603174603175,0.123015873015873,0.551587301587302,0.788135593220339,0.161016949152542,0.0338983050847458,0.0169491525423729,276,24,31137,65.8044487550449,72.1393664998729,0.174,5.2508169444,0.389,49.65636,0.0235446606,77.156826844,0.172,59637,180773,0.2638988527,0.41,28,3.54164921713125,34.5238095238095,8.09326524713364,0.77078716639368,8.86405241352732,15.4890387391922,5.9637,1.80773,17.4603174603175,78.8135593220339,55.1587301587302,17.4,38.9,17.2,26.38988527,41
"40","01083",197,113,0.573604060913706,0.284263959390863,0.131979695431472,0.116751269035533,0.131979695431472,0.228426395939086,0.106598984771574,0.512690355329949,0.708860759493671,0.0126582278481013,0.253164556962025,0.0253164556962025,289,32,45473,63.387053969988,70.6682612802583,0.171,5.5074668599,0.366,34.41316,0.020957898,76.438374437,0.176,83159,110900,0.5101284156,0.44,10,4.04935427596244,57.3604060913706,4.3322411101093,0.703714291997449,6.35541969960196,9.01713255184851,8.3159,1.109,22.8426395939086,70.8860759493671,51.2690355329949,17.1,36.6,17.6,51.01284156,44
"41","01085",37,25,0.675675675675676,0.135135135135135,0.27027027027027,0.0810810810810811,0.108108108108108,0.27027027027027,0.135135135135135,0.594594594594595,0.466666666666667,0.533333333333333,0,0,56,4,3499,66.3895313761022,71.4629122951221,0.278,5.9696874333,0.474,10.03512,0.0519110097,68.417254989,0.204,42268,9777,1,0.31,0,4.21312809821207,67.5675675675676,10.5744498428122,1.14318376679051,16.0045727350672,0,4.2268,0.09777,27.027027027027,46.6666666666667,59.4594594594595,27.8,47.4,20.4,100,31
"42","01087",24,9,0.375,0.0416666666666667,0.25,0.0416666666666667,0.125,0.291666666666667,0.25,0.75,0.307692307692308,0.692307692307692,0,0,66,2,4193,65.6432096229629,71.8239252336449,0.249,5.7324084384,0.479,31.75443,0.0380310354,72.048650373,0.195,36601,18516,0.5390640999,0.3,0,3.62434093297637,37.5,5.72382542332459,0.476985451943716,15.7405199141426,0,3.6601,0.18516,29.1666666666667,30.7692307692308,75,24.9,47.9,19.5,53.90640999,30
"43","01089",568,170,0.299295774647887,0.211267605633803,0.207746478873239,0.0862676056338028,0.14612676056338,0.258802816901408,0.0897887323943662,0.563380281690141,0.745019920318725,0.187250996015936,0.0358565737051793,0.0318725099601594,765,88,166212,62.7701633078728,71.5445100235902,0.144,5.1002879667,0.419,85.52394,0.0212918672,76.651733256,0.164,80426,403565,0.1710227668,0.42,100,3.3988472043172,29.9295774647887,3.41732245565904,0.529444324116189,4.60255577214642,24.7791557741628,8.0426,4.03565,25.8802816901408,74.5019920318725,56.3380281690141,14.4,41.9,16.4,17.10227668,42
"44","01091",52,19,0.365384615384615,0.173076923076923,0.173076923076923,0.115384615384615,0.0961538461538462,0.423076923076923,0.0192307692307692,0.711538461538462,0.454545454545455,0.545454545454545,0,0,145,2,4333,65.6902448549065,74.1948831821694,0.239,5.4972136025,0.472,42.11413,0.0341610826,70.686985687,0.195,45587,18745,0.6777415515,0.31,5,3.5983654465731,36.5384615384615,12.0009231479345,0.461573967228248,33.464112624048,26.6737796745799,4.5587,0.18745,42.3076923076923,45.4545454545455,71.1538461538462,23.9,47.2,19.5,67.77415515,31
"45","01093",72,27,0.375,0.111111111111111,0.291666666666667,0.0416666666666667,0.208333333333333,0.305555555555556,0.0416666666666667,0.611111111111111,0.869565217391304,0.130434782608696,0,0,147,7,7260,62.6968850643804,75.2481129441388,0.21,6.1313903634,0.392,23.9349,0.0249130939,72.449370345,0.203,47742,29156,1,0.35,4,3.62434093297637,37.5,9.91735537190083,0.964187327823692,20.2479338842975,13.7193030594046,4.7742,0.29156,30.5555555555556,86.9565217391304,61.1111111111111,21,39.2,20.3,100,35
